persona_id,first_name,age_group,race_ethnicity,gender,county,region,urban_suburban_rural,education,income_band,party_lean,ideology,past_vote_pattern,turnout_likelihood,top_issues,human_profile,persona_weight
P001,Linda,45-64,Black,Female,Wayne County,Detroit / Wayne,urban,Some college,Lower-middle,Strong Democrat,Liberal,Consistent Democratic voter,High,Abortion; Economy / cost of living; Social Security / Medicare,"Linda is a mid-career black female in Wayne County who works as a city bus mechanic. Linda works long shifts and follows politics unevenly and thinks most about abortion, economy / cost of living. Politically, Linda usually votes Democratic and sees national politics as personal to daily life, with a high likelihood of voting in a high-profile Senate race.",1.000000
P002,Karen,45-64,White non-Hispanic,Female,Oakland County,Detroit suburbs,suburban,College degree,Upper-middle,Independent / swing,Moderate,Suburban moderate,High,Environment / water; Economy / cost of living; Education,"Karen is a mid-career white non-hispanic female in Oakland County who works as a suburban school teacher. Karen owns a modest home and thinks most about environment / water, economy / cost of living. Politically, Karen does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P003,Michelle,18-29,White non-Hispanic,Female,Kent County,West Michigan,mixed,College degree,Lower-middle,Independent / swing,Moderate,Suburban moderate,Medium,Crime / public safety; Economy / cost of living; Education,"Michelle is a younger white non-hispanic female in Kent County who works as a resort operations coordinator. Michelle is paying off student loans and thinks most about crime / public safety, economy / cost of living. Politically, Michelle does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P004,Jessica,45-64,White non-Hispanic,Female,Wayne County,Detroit / Wayne,urban,Some college,Middle,Independent / swing,Moderate,Suburban moderate,High,Health care; Democracy / rule of law; Environment / water,"Jessica is a mid-career white non-hispanic female in Wayne County who works as a hospital billing coordinator. Jessica rents an apartment and is saving for a house and thinks most about health care, democracy / rule of law. Politically, Jessica does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P005,Lisa,65+,White non-Hispanic,Female,Macomb County,Detroit suburbs,suburban,Some college,Middle,Strong Republican,Very conservative,Consistent Republican voter,High,Education; Economy / cost of living; Democracy / rule of law,"Lisa is a older white non-hispanic female in Macomb County who works as a retired resort manager. Lisa is recently retired and thinks most about education, economy / cost of living. Politically, Lisa usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P006,Lisa,18-29,White non-Hispanic,Female,Monroe County,Rural / outstate,rural/small-town,High school or less,Lower-middle,Strong Republican,Conservative,Consistent Republican voter,Medium,Economy / cost of living; Crime / public safety; Health care,"Lisa is a younger white non-Hispanic female in Monroe County who works as a bookkeeper. Lisa rents an apartment and is saving for a house and thinks most about economy / cost of living, crime / public safety. Politically, Lisa usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P007,Jennifer,65+,White non-Hispanic,Female,Mecosta County,Rural / outstate,rural/small-town,College degree,Middle,Strong Republican,Very conservative,Consistent Republican voter,High,Foreign policy / Israel-Gaza; Crime / public safety; Economy / cost of living,"Jennifer is an older white non-Hispanic female in Mecosta County who works as a postal carrier. Jennifer is recently retired and thinks most about foreign policy / israel-gaza, crime / public safety. Politically, Jennifer usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P008,Michael,30-44,Black,Male,Lenawee County,Rural / outstate,rural/small-town,Some college,Lower-middle,Independent / swing,Moderate,Obama-Trump voter,Medium,Economy / cost of living; Environment / water; Crime / public safety,"Michael is a middle-aged black male in Lenawee County who works as a postal carrier. Michael coaches a local youth team and thinks most about economy / cost of living, environment / water. Politically, Michael does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P009,Tanya,45-64,Multiracial / other,Female,Ottawa County,West Michigan,mixed,College degree,Middle,Independent / swing,Moderate,Obama-Trump voter,High,Health care; Crime / public safety; Labor / unions,"Tanya is a mid-career multiracial / other female in Ottawa County who works as a restaurant owner. Tanya helps care for an elderly parent and thinks most about health care, crime / public safety. Politically, Tanya does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P010,Patricia,45-64,Multiracial / other,Female,Kent County,West Michigan,mixed,College degree,Middle,Lean Republican,Conservative,Usually Republican voter,Medium,Labor / unions; Crime / public safety; Immigration,"Patricia is a mid-career multiracial / other female in Kent County who works as a bookkeeper. Patricia owns a modest home and thinks most about labor / unions, crime / public safety. Politically, Patricia usually leans Republican but will consider a Democrat who seems focused on Michigan, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P011,David,30-44,White non-Hispanic,Male,Macomb County,Detroit suburbs,suburban,Some college,Middle,Independent / swing,Moderate,Suburban moderate,Medium,Social Security / Medicare; Labor / unions; Abortion,"David is a middle-aged white non-Hispanic male in Macomb County who works as a realtor. David has family split across both parties and thinks most about social security / medicare, labor / unions. Politically, David does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P012,Lisa,30-44,Black,Female,Wayne County,Detroit / Wayne,urban,Some college,Low,Strong Democrat,Progressive,Consistent Democratic voter,Medium,Crime / public safety; Health care; Immigration,"Lisa is a middle-aged black female in Wayne County who works as a small business owner. Lisa rents an apartment and is saving for a house and thinks most about crime / public safety, health care. Politically, Lisa usually votes Democratic and sees national politics as personal to daily life, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P013,Marcus,18-29,Black,Male,Saginaw County,Flint / Saginaw / Bay,mixed,Some college,Lower-middle,Independent / swing,Moderate,Low-propensity swing voter,Medium,Economy / cost of living; Labor / unions; Education,"Marcus is a younger black male in Saginaw County who works as a home health aide. Marcus is paying off student loans and thinks most about economy / cost of living, labor / unions. Politically, Marcus does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P014,Jennifer,30-44,White non-Hispanic,Female,Wayne County,Detroit / Wayne,urban,High school or less,Low,Lean Democrat,Liberal,Usually Democratic voter,Medium,Crime / public safety; Democracy / rule of law; Environment / water,"Jennifer is a middle-aged white non-Hispanic female in Wayne County who works as a hospital billing coordinator. Jennifer has family split across both parties and thinks most about crime / public safety, democracy / rule of law. Politically, Jennifer usually leans Democratic but wants candidates to sound practical and grounded, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P015,Mark,18-29,White non-Hispanic,Male,Macomb County,Detroit suburbs,suburban,Some college,Middle,Independent / swing,Moderate,Obama-Trump voter,Low,Environment / water; Economy / cost of living; Immigration,"Mark is a younger white non-Hispanic male in Macomb County who works as an insurance analyst. Mark works long shifts and follows politics unevenly and thinks most about environment / water, economy / cost of living. Politically, Mark does not like either party having too much power and has split tickets before, with a low likelihood of voting in a high-profile Senate race.",1.000000
P016,Michael,65+,White non-Hispanic,Male,Washtenaw County,Ann Arbor / Washtenaw,urban/suburban,High school or less,Upper-middle,Independent / swing,Moderate,Low-propensity swing voter,High,Social Security / Medicare; Health care; Foreign policy / Israel-Gaza,"Michael is an older white non-Hispanic male in Washtenaw County who works as a nurse practitioner. Michael helps care for a spouse and thinks most about social security / medicare, health care. Politically, Michael does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P017,Michelle,45-64,White non-Hispanic,Female,Monroe County,Rural / outstate,rural/small-town,Some college,Lower-middle,Independent / swing,Moderate,Suburban moderate,Medium,Labor / unions; Environment / water; Health care,"Michelle is a mid-career white non-Hispanic female in Monroe County who works as a bookkeeper. Michelle volunteers through church and thinks most about labor / unions, environment / water. Politically, Michelle does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P018,Tanya,65+,White non-Hispanic,Female,Lenawee County,Rural / outstate,rural/small-town,College degree,Middle,Strong Republican,Very conservative,Consistent Republican voter,High,Economy / cost of living; Education; Social Security / Medicare,"Tanya is an older white non-Hispanic female in Lenawee County who works as a postal carrier. Tanya volunteers through church and thinks most about economy / cost of living, education. Politically, Tanya usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P019,Tanya,45-64,White non-Hispanic,Female,Kent County,West Michigan,mixed,College degree,Middle,Independent / swing,Moderate,Suburban moderate,High,Economy / cost of living; Labor / unions; Crime / public safety,"Tanya is a mid-career white non-Hispanic female in Kent County who works as a church office manager. Tanya volunteers through church and thinks most about economy / cost of living, labor / unions. Politically, Tanya does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P020,Lisa,18-29,White non-Hispanic,Female,Ottawa County,West Michigan,mixed,Some college,Upper-middle,Lean Republican,Moderate,Trump-to-Democrat persuadable voter,Medium,Abortion; Labor / unions; Social Security / Medicare,"Lisa is a younger white non-Hispanic female in Ottawa County who works as a church office manager. Lisa works long shifts and follows politics unevenly and thinks most about abortion, labor / unions. Politically, Lisa usually leans Republican but will consider a Democrat who seems focused on Michigan, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P021,Emily,45-64,White non-Hispanic,Female,Ingham County,Lansing / Ingham,urban/suburban,College degree,Upper-middle,Lean Democrat,Liberal,Occasional split-ticket Democrat,High,Crime / public safety; Abortion; Health care,"Emily is a mid-career white non-Hispanic female in Ingham County who works as a community college instructor. Emily works long shifts and follows politics unevenly and thinks most about crime / public safety, abortion. Politically, Emily usually leans Democratic but wants candidates to sound practical and grounded, with a high likelihood of voting in a high-profile Senate race.",1.000000
P022,Nicole,30-44,Black,Female,Wayne County,Detroit / Wayne,urban,Some college,Middle,Strong Democrat,Progressive,High-propensity Democratic voter,Medium,Labor / unions; Abortion; Economy / cost of living,"Nicole is a middle-aged black female in Wayne County who works as an auto supplier line supervisor. Nicole rents an apartment and is saving for a house and thinks most about labor / unions, abortion. Politically, Nicole usually votes Democratic and sees national politics as personal to daily life, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P023,Nicole,65+,White non-Hispanic,Female,Kalamazoo County,West Michigan,mixed,Some college,Middle,Lean Republican,Conservative,Trump-to-Democrat persuadable voter,High,Crime / public safety; Social Security / Medicare; Environment / water,"Nicole is an older white non-Hispanic female in Kalamazoo County who works as a church office manager. Nicole volunteers through church and thinks most about crime / public safety, social security / medicare. Politically, Nicole usually leans Republican but will consider a Democrat who seems focused on Michigan, with a high likelihood of voting in a high-profile Senate race.",1.000000
P024,William,65+,Black,Male,Wayne County,Detroit / Wayne,urban,High school or less,Lower-middle,Strong Democrat,Progressive,Consistent Democratic voter,High,Economy / cost of living; Environment / water; Foreign policy / Israel-Gaza,"William is an older black male in Wayne County who works as a city bus mechanic. William is recently retired and thinks most about economy / cost of living, environment / water. Politically, William usually votes Democratic and sees national politics as personal to daily life, with a high likelihood of voting in a high-profile Senate race.",1.000000
P025,Susan,45-64,White non-Hispanic,Female,Wayne County,Detroit / Wayne,urban,High school or less,Middle,Independent / swing,Moderate,Obama-Trump voter,High,Labor / unions; Economy / cost of living; Foreign policy / Israel-Gaza,"Susan is a mid-career white non-Hispanic female in Wayne County who works as a small business owner. Susan volunteers through church and thinks most about labor / unions, economy / cost of living. Politically, Susan does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P026,Carlos,65+,White non-Hispanic,Male,Wayne County,Detroit / Wayne,urban,High school or less,Middle,Independent / swing,Conservative,Low-propensity swing voter,Medium,Economy / cost of living; Immigration; Social Security / Medicare,"Carlos is an older white non-Hispanic male in Wayne County who works as a hospital billing coordinator. Carlos volunteers through church and thinks most about economy / cost of living, immigration. Politically, Carlos does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P027,Angela,30-44,White non-Hispanic,Female,St. Clair County,Rural / outstate,rural/small-town,High school or less,Middle,Independent / swing,Moderate,Suburban moderate,Medium,Foreign policy / Israel-Gaza; Crime / public safety; Democracy / rule of law,"Angela is a middle-aged white non-Hispanic female in St. Clair County who works as a farm equipment mechanic. Angela coaches a local youth team and thinks most about foreign policy / israel-gaza, crime / public safety. Politically, Angela does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P028,Maria,65+,Black,Female,Wayne County,Detroit / Wayne,urban,High school or less,Lower-middle,Lean Democrat,Moderate,Usually Democratic voter,High,Crime / public safety; Democracy / rule of law; Labor / unions,"Maria is an older black female in Wayne County who works as a hospital billing coordinator. Maria helps care for a spouse and thinks most about crime / public safety, democracy / rule of law. Politically, Maria usually leans Democratic but wants candidates to sound practical and grounded, with a high likelihood of voting in a high-profile Senate race.",1.000000
P029,Eric,65+,White non-Hispanic,Male,Jackson County,Rural / outstate,rural/small-town,Some college,Lower-middle,Lean Republican,Conservative,Usually Republican voter,High,Social Security / Medicare; Economy / cost of living; Environment / water,"Eric is an older white non-Hispanic male in Jackson County who works as a retired small business owner. Eric helps care for a spouse and thinks most about social security / medicare, economy / cost of living. Politically, Eric usually leans Republican but will consider a Democrat who seems focused on Michigan, with a high likelihood of voting in a high-profile Senate race.",1.000000
P030,Karen,65+,White non-Hispanic,Female,Macomb County,Detroit suburbs,suburban,College degree,Upper-middle,Lean Democrat,Liberal,Usually Democratic voter,High,Economy / cost of living; Democracy / rule of law; Crime / public safety,"Karen is a older white non-hispanic female in Macomb County who works as a retired insurance analyst. Karen owns a modest home and thinks most about economy / cost of living, democracy / rule of law. Politically, Karen usually leans Democratic but wants candidates to sound practical and grounded, with a high likelihood of voting in a high-profile Senate race.",1.000000
P031,Jessica,30-44,White non-Hispanic,Female,Branch County,Rural / outstate,rural/small-town,College degree,Middle,Lean Republican,Conservative,Trump-to-Democrat persuadable voter,Medium,Democracy / rule of law; Immigration; Abortion,"Jessica is a middle-aged white non-Hispanic female in Branch County who works as a postal carrier. Jessica coaches a local youth team and thinks most about democracy / rule of law, immigration. Politically, Jessica usually leans Republican but will consider a Democrat who seems focused on Michigan, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P032,Daniel,30-44,White non-Hispanic,Male,Genesee County,Flint / Saginaw / Bay,mixed,Some college,Lower-middle,Independent / swing,Moderate,Obama-Trump voter,Medium,Social Security / Medicare; Labor / unions; Health care,"Daniel is a middle-aged white non-Hispanic male in Genesee County who works as a retired union worker. Daniel rents an apartment and is saving for a house and thinks most about social security / medicare, labor / unions. Politically, Daniel does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P033,Denise,45-64,White non-Hispanic,Female,Kalamazoo County,West Michigan,mixed,College degree,Upper-middle,Independent / swing,Moderate,Low-propensity swing voter,High,Education; Foreign policy / Israel-Gaza; Economy / cost of living,"Denise is a mid-career white non-Hispanic female in Kalamazoo County who works as a manufacturing supervisor. Denise owns a modest home and thinks most about education, foreign policy / israel-gaza. Politically, Denise does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P034,Ryan,65+,White non-Hispanic,Male,Washtenaw County,Ann Arbor / Washtenaw,urban/suburban,Postgraduate,Upper-middle,Lean Democrat,Moderate,Usually Democratic voter,High,Economy / cost of living; Education; Immigration,"Ryan is an older white non-Hispanic male in Washtenaw County who works as an university administrator. Ryan owns a modest home and thinks most about economy / cost of living, education. Politically, Ryan usually leans Democratic but wants candidates to sound practical and grounded, with a high likelihood of voting in a high-profile Senate race.",1.000000
P035,Thomas,30-44,White non-Hispanic,Male,Grand Traverse County,Northern Michigan,rural/small-town,Some college,Middle,Lean Democrat,Liberal,Occasional split-ticket Democrat,Medium,Foreign policy / Israel-Gaza; Abortion; Economy / cost of living,"Thomas is a middle-aged white non-Hispanic male in Grand Traverse County who works as a small farm owner. Thomas coaches a local youth team and thinks most about foreign policy / israel-gaza, abortion. Politically, Thomas usually leans Democratic but wants candidates to sound practical and grounded, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P036,Maria,65+,White non-Hispanic,Female,Kent County,West Michigan,mixed,College degree,Middle,Strong Republican,Very conservative,High-propensity Republican voter,High,Immigration; Foreign policy / Israel-Gaza; Democracy / rule of law,"Maria is a older white non-hispanic female in Kent County who works as a retired bookkeeper. Maria is recently retired and thinks most about immigration, foreign policy / israel-gaza. Politically, Maria usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P037,Anthony,45-64,White non-Hispanic,Male,Gratiot County,Rural / outstate,rural/small-town,Some college,Middle,Independent / swing,Moderate,Split-ticket voter,Medium,Health care; Education; Social Security / Medicare,"Anthony is a mid-career white non-Hispanic male in Gratiot County who works as a retired small business owner. Anthony owns a modest home and thinks most about health care, education. Politically, Anthony does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P038,Marcus,30-44,White non-Hispanic,Male,Oakland County,Detroit suburbs,suburban,Some college,Middle,Independent / swing,Moderate,Obama-Trump voter,Medium,Abortion; Education; Economy / cost of living,"Marcus is a middle-aged white non-Hispanic male in Oakland County who works as a realtor. Marcus has family split across both parties and thinks most about abortion, education. Politically, Marcus does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P039,Patrick,65+,Asian,Male,Oakland County,Detroit suburbs,suburban,High school or less,Middle,Lean Democrat,Moderate,Occasional split-ticket Democrat,High,Social Security / Medicare; Abortion; Economy / cost of living,"Patrick is an older asian male in Oakland County who works as a software project manager. Patrick owns a modest home and thinks most about social security / medicare, abortion. Politically, Patrick usually leans Democratic but wants candidates to sound practical and grounded, with a high likelihood of voting in a high-profile Senate race.",1.000000
P040,Alicia,65+,White non-Hispanic,Female,Washtenaw County,Ann Arbor / Washtenaw,urban/suburban,College degree,Middle,Independent / swing,Moderate,Split-ticket voter,High,Immigration; Labor / unions; Crime / public safety,"Alicia is a older white non-hispanic female in Washtenaw County who works as a water department technician. Alicia helps care for a spouse and thinks most about immigration, labor / unions. Politically, Alicia does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P041,William,65+,White non-Hispanic,Male,Arenac County,Rural / outstate,rural/small-town,High school or less,Middle,Strong Republican,Very conservative,High-propensity Republican voter,High,Foreign policy / Israel-Gaza; Abortion; Democracy / rule of law,"William is an older white non-Hispanic male in Arenac County who works as a bookkeeper. William is recently retired and thinks most about foreign policy / israel-gaza, abortion. Politically, William usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P042,Michelle,45-64,White non-Hispanic,Female,Macomb County,Detroit suburbs,suburban,High school or less,Middle,Lean Republican,Conservative,Trump-to-Democrat persuadable voter,Medium,Democracy / rule of law; Immigration; Health care,"Michelle is a mid-career white non-Hispanic female in Macomb County who works as an insurance analyst. Michelle works long shifts and follows politics unevenly and thinks most about democracy / rule of law, immigration. Politically, Michelle usually leans Republican but will consider a Democrat who seems focused on Michigan, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P043,Anthony,30-44,White non-Hispanic,Male,Hillsdale County,Rural / outstate,rural/small-town,High school or less,Low,Lean Republican,Conservative,Trump-to-Democrat persuadable voter,Medium,Education; Foreign policy / Israel-Gaza; Crime / public safety,"Anthony is a middle-aged white non-Hispanic male in Hillsdale County who works as a farm equipment mechanic. Anthony has family split across both parties and thinks most about education, foreign policy / israel-gaza. Politically, Anthony usually leans Republican but will consider a Democrat who seems focused on Michigan, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P044,Patricia,65+,White non-Hispanic,Female,Calhoun County,Rural / outstate,rural/small-town,Some college,Middle,Strong Republican,Very conservative,High-propensity Republican voter,High,Abortion; Health care; Economy / cost of living,"Patricia is an older white non-Hispanic female in Calhoun County who works as a farm equipment mechanic. Patricia volunteers through church and thinks most about abortion, health care. Politically, Patricia usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P045,Linda,30-44,White non-Hispanic,Female,Washtenaw County,Ann Arbor / Washtenaw,urban/suburban,College degree,Middle,Strong Democrat,Progressive,Consistent Democratic voter,High,Labor / unions; Democracy / rule of law; Abortion,"Linda is a middle-aged white non-Hispanic female in Washtenaw County who works as a public school counselor. Linda coaches a local youth team and thinks most about labor / unions, democracy / rule of law. Politically, Linda usually votes Democratic and sees national politics as personal to daily life, with a high likelihood of voting in a high-profile Senate race.",1.000000
P046,Patrick,30-44,White non-Hispanic,Male,Grand Traverse County,Northern Michigan,rural/small-town,College degree,Upper-middle,Independent / swing,Moderate,Low-propensity swing voter,High,Crime / public safety; Education; Abortion,"Patrick is a middle-aged white non-Hispanic male in Grand Traverse County who works as a small farm owner. Patrick has family split across both parties and thinks most about crime / public safety, education. Politically, Patrick does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P047,Michelle,18-29,Black,Female,Genesee County,Flint / Saginaw / Bay,mixed,Some college,Lower-middle,Strong Democrat,Progressive,High-propensity Democratic voter,Medium,Social Security / Medicare; Environment / water; Education,"Michelle is a younger black female in Genesee County who works as a home health aide. Michelle has friends split across both parties and thinks most about social security / medicare, environment / water. Politically, Michelle usually votes Democratic and sees national politics as personal to daily life, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P048,James,65+,Hispanic,Male,Wayne County,Detroit / Wayne,urban,High school or less,Lower-middle,Strong Democrat,Progressive,High-propensity Democratic voter,High,Democracy / rule of law; Foreign policy / Israel-Gaza; Social Security / Medicare,"James is an older hispanic male in Wayne County who works as a city bus mechanic. James is recently retired and thinks most about democracy / rule of law, foreign policy / israel-gaza. Politically, James usually votes Democratic and sees national politics as personal to daily life, with a high likelihood of voting in a high-profile Senate race.",1.000000
P049,David,45-64,White non-Hispanic,Male,Macomb County,Detroit suburbs,suburban,College degree,Middle,Independent / swing,Moderate,Suburban moderate,High,Economy / cost of living; Social Security / Medicare; Foreign policy / Israel-Gaza,"David is a mid-career white non-Hispanic male in Macomb County who works as a software project manager. David helps care for an elderly parent and thinks most about economy / cost of living, social security / medicare. Politically, David does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
